rcap,rcap_numeric,region_id,voltage_kv,feasible,status,cumulative_in_service_eac_wanyuan,capacity_action_delta_mva,action_types,candidate_ids,selected_action_count,policy_basis,retirement_candidates_enabled,physical_clr_2025,policy_control_ratio_2025,installed_capacity_mva_2025,storage_modules,p_plus_mw_2025,p_minus_mw_2025,cos_phi
3.0,3.0,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95
unbounded,,QX-00007,110,True,feasible,0.0,0.0,none,,0,actual_2021_asset_baseline_unbounded,False,2.036537983542863,2.036537983542863,3113.5,0.0,1528.82,0.0,0.95
1.5,1.5,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.6,1.6,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.7,1.7,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.8,1.8,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.9,1.9,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.0,2.0,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.1,2.1,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.2,2.2,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.3,2.3,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.4,2.4,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.5,2.5,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.6,2.6,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.7,2.7,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.8,2.8,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.9,2.9,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
3.0,3.0,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
unbounded,,QX-00008,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_unbounded,False,,,,,,,0.95
1.5,1.5,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.6,1.6,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.7,1.7,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.8,1.8,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.9,1.9,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.0,2.0,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.1,2.1,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.2,2.2,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.3,2.3,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.4,2.4,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.5,2.5,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.6,2.6,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.7,2.7,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.8,2.8,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.9,2.9,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
3.0,3.0,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
unbounded,,QX-00009,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_unbounded,False,,,,,,,0.95
1.5,1.5,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.6,1.6,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.7,1.7,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.8,1.8,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
1.9,1.9,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.0,2.0,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.1,2.1,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.2,2.2,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.3,2.3,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.4,2.4,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.5,2.5,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.6,2.6,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.7,2.7,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.8,2.8,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
2.9,2.9,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
3.0,3.0,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_grandfathered_incremental_rcap,False,,,,,,,0.95
unbounded,,QX-00010,110,False,infeasible,,,none,,0,actual_2021_asset_baseline_unbounded,False,,,,,,,0.95
